"hour_of_day","cash_type","money","coffee_name","time_of_day","weekday","month_name","weekdaysort","monthsort","Date","Time"
"10","card","38.7","Latte","Morning","Fri","Mar","5","3","2024-03-01","10:15:50.520000"
"12","card","38.7","Hot Chocolate","Afternoon","Fri","Mar","5","3","2024-03-01","12:19:22.539000"
"12","card","38.7","Hot Chocolate","Afternoon","Fri","Mar","5","3","2024-03-01","12:20:18.089000"
"13","card","28.9","Americano","Afternoon","Fri","Mar","5","3","2024-03-01","13:46:33.006000"
"13","card","38.7","Latte","Afternoon","Fri","Mar","5","3","2024-03-01","13:48:14.626000"
"15","card","33.8","Americano with Milk","Afternoon","Fri","Mar","5","3","2024-03-01","15:39:47.726000"
"16","card","38.7","Hot Chocolate","Afternoon","Fri","Mar","5","3","2024-03-01","16:19:02.756000"
"18","card","33.8","Americano with Milk","Night","Fri","Mar","5","3","2024-03-01","18:39:03.580000"
"19","card","38.7","Cocoa","Night","Fri","Mar","5","3","2024-03-01","19:22:01.762000"
"19","card","33.8","Americano with Milk","Night","Fri","Mar","5","3","2024-03-01","19:23:15.887000"
"19","card","33.8","Americano with Milk","Night","Fri","Mar","5","3","2024-03-01","19:29:17.391000"
"10","card","28.9","Americano","Morning","Sat","Mar","6","3","2024-03-02","10:22:06.957000"
"10","card","33.8","Americano with Milk","Morning","Sat","Mar","6","3","2024-03-02","10:41:41.249000"
"11","card","33.8","Americano with Milk","Morning","Sat","Mar","6","3","2024-03-02","11:59:45.484000"
"14","card","28.9","Americano","Afternoon","Sat","Mar","6","3","2024-03-02","14:38:35.535000"
"16","card","33.8","Americano with Milk","Afternoon","Sat","Mar","6","3","2024-03-02","16:37:24.475000"
"17","card","28.9","Americano","Night","Sat","Mar","6","3","2024-03-02","17:34:54.969000"
"10","card","38.7","Latte","Morning","Sun","Mar","7","3","2024-03-03","10:27:18.561000"
"11","card","28.9","Cortado","Morning","Sun","Mar","7","3","2024-03-03","11:33:56.118000"
"12","card","28.9","Americano","Afternoon","Sun","Mar","7","3","2024-03-03","12:26:56.098000"
"13","card","38.7","Hot Chocolate","Afternoon","Sun","Mar","7","3","2024-03-03","13:09:36.321000"
"17","card","38.7","Cocoa","Night","Sun","Mar","7","3","2024-03-03","17:06:40.271000"
